Business_Name,Star_Rating,Total_Review,Area,Address,Zip_Code
Travertino Cucina Romana,4.5,21,Central Park,"118 E 116th St New York, NY 10029",10029
Sprinkles New York - Upper East Side,4,984,Central Park,"780 Lexington Ave New York, NY 10065",10065
Alachi Masala,4,221,Central Park,"488 Amsterdam Ave New York, NY 10024",10024
The Jin,4.5,294,Central Park,"856 10th Ave New York, NY 10019",10019
Casellula,4,905,Central Park,"401 W 52nd St New York, NY 10019",10019
Hi-Life,3.5,339,Central Park,"477 Amsterdam Ave New York, NY 10024",10024
Jean-Georges,4.5,1886,Central Park,"1 Central Park W New York, NY 10023",10023
Malii,4.5,284,Central Park,"2028 2nd Ave New York, NY 10029",10029
Sojourn,4,655,Central Park,"244 E 79th St New York, NY 10075",10075
Remi Flower & Coffee,4.5,316,Central Park,"906 2nd Ave New York, NY 10017",10017
Nespresso Boutique,3.5,227,Battery Park,"92 Prince St New York, NY 10012",10012
Amazon Go,4,29,Battery Park,"200 Vesey St Winter Garden, Level 2 New York, NY 10281",10281
National September 11 Memorial Museum,4.5,1425,Battery Park,"180 Greenwich St New York, NY 10007",10007
Shake Shack,4,938,Battery Park,"215 Murray St New York, NY 10282",10282
One World Trade Center,4.5,493,Battery Park,"285 Fulton St New York, NY 10007",10007
L’Appart,5,105,Battery Park,"225 Liberty St New York, NY 10281",10281
9/11 Tribute Museum,4.5,266,Battery Park,"92 Greenwich St New York, NY 10006",10006
Tartinery Hudson Eats,4,369,Battery Park,"225 Liberty St New York, NY 10281",10281
Luke’s Lobster FiDi,4.5,1167,Battery Park,"26 S William St New York, NY 10004",10004
Pisillo Italian Panini,4.5,604,Battery Park,"97 Nassau St New York, NY 10038",10038
Blue Smoke,3.5,650,Battery Park,"255 Vesey St New York, NY 10282",10282
Starbucks,3,42,Battery Park,"200 Liberty St L105 Brookfield Place 1 New York, NY 10006",10006
Nespresso Boutique,3.5,227,Battery Park,"92 Prince St New York, NY 10012",10012
Blue Bottle Coffee,4.5,108,Battery Park,"150 Greenwich St New York, NY 10007",10007
The Dead Rabbit,4,1573,Battery Park,"30 Water St New York, NY 10004",10004
El Vez,3.5,666,Battery Park,"259 Vesey St New York, NY 10282",10282
Manhatta,4.5,475,Battery Park,"28 Liberty St Fl 60 New York, NY 10005",10005
Eataly NYC Downtown,3.5,992,Battery Park,"101 Liberty St Fl 3 New York, NY 10006",10006
Oculus,4,1488,Battery Park,"World Trade Center Transportation Hub New York, NY 10006",10006
Takahachi Bakery,4,933,Battery Park,"25 Murray St New York, NY 10007",10007
Sauce & Barrel,4,431,Battery Park,"97 Washington St New York, NY 10006",10006
Clinton Hall,3.5,675,Battery Park,"90 Washington St New York, NY 10006",10006
Adrienne’s Pizzabar,4,1669,Battery Park,"54 Stone St New York, NY 10004",10004
Kesté Pizza & Vino,4,1412,Battery Park,"66 Gold S New York, NY 10038",10038
I Milky 沐白,4.5,139,Battery Park,"992 6th Ave New York, NY 10018",10018
T-Swirl Crêpe,5,9,Battery Park,"19-23 St Marks Pl New York, NY 10003",10003
Spicy Moon West Village,5,78,Battery Park,"68 W 3rd St New York, NY 10012",10012
Marc Forgione,4.5,931,Battery Park,"134 Reade St New York, NY 10013",10013
Inatteso Pizzabar,4,319,Battery Park,"28 West St New York, NY 10004",10004
The Capital Grille,4,604,Battery Park,"120 Broadway New York, NY 10271",10271
Nish Nush,4.5,725,Battery Park,"88 Reade St New York, NY 10013",10013
Loopy Doopy Rooftop Bar,3.5,646,Battery Park,"102 N End Ave Conrad New York Hotel New York, NY 10282",10282
Le District,3.5,558,Battery Park,"225 Liberty St New York, NY 10281",10281
Gansevoort Liberty Market,4,266,Battery Park,"101 Liberty St New York, NY 10007",10007
Da Claudio,4.5,494,Battery Park,"21 Ann St New York, NY 10038",10038
Jungsik,4.5,602,Battery Park,"2 Harrison St New York, NY 10013",10013
Nish Nush,4.5,310,Battery Park,"41 John St New York, NY 10038",10038
Blue Bottle Coffee,4.5,108,Battery Park,"150 Greenwich St New York, NY 10007",10007
Delmonico’s,4,1057,Battery Park,"56 Beaver St New York, NY 10004",10004
Sprinkles New York - Brookfield Place,4,184,Battery Park,"225 Liberty St Ste 241 New York, NY 10281",10281
Suspenders Restaurant & Bar,4,259,Battery Park,"108 Greenwich St New York, NY 10006",10006
The Battery,4.5,339,Battery Park,"State St & Battery Pl New York, NY 10004",10004
Morton’s The Steakhouse,4,256,Battery Park,"136 Washington St New York, NY 10006",10006
Kuu Ramen,4,667,Battery Park,"20 John St New York, NY 10038",10038
El Vez Burrito Bar,4,136,Battery Park,"259 Vesey St New York, NY 10282",10282
Antica Ristorante,4.5,503,Battery Park,"8 Stone St New York, NY 10004",10004
Hole In The Wall - FiDi,4.5,592,Battery Park,"15 Cliff St New York, NY 10038",10038
Bao Bao Cafe,4,199,Battery Park,"106 Greenwich St New York, NY 10006",10006
Uluh,4,330,Battery Park,"152 2nd Ave Ste A New York, NY 10003",10003
Mama’s Cupboard,5,14,Battery Park,"235 E 53rd St New York, NY 10022",10022
The Malt House,4,527,Battery Park,"9 Maiden Ln New York, NY 10038",10038
Kaffe 1668 South,4,692,Battery Park,"275 Greenwich St New York, NY 10007",10007
Mighty Quinn’s Barbeque,3.5,269,Battery Park,"225 Liberty St New York, NY 10281",10281
Irish Hunger Memorial,4.5,63,Battery Park,"75 Battery Place New York, NY 10282",10282
Bill’s Bar & Burger Downtown,3.5,565,Battery Park,"85 West St New York, NY 10006",10006
Miramar,4,194,Battery Park,"21 S End Ave New York, NY 10280",10280
Harry’s,4,693,Battery Park,"1 Hanover Sq New York, NY 10004",10004
Locanda Verde,4,1646,Battery Park,"377 Greenwich St New York, NY 10013",10013
Schilling,4,153,Battery Park,"109 Washington St New York, NY 10006",10006
Benares,4,531,Battery Park,"45 Murray St New York, NY 10007",10007
Waypoint Cafe,4.5,29,Battery Park,"65 Ludlow St New York, NY 10002",10002
Surreal Creamery,4.5,164,Battery Park,"538 2nd Ave New York, NY 10016",10016
Go Go Curry World Trade Center,4,374,Battery Park,"12 John Street World Trade Center Stadium New York, NY 10038",10038
Gran Morsi,4.5,384,Battery Park,"22 Warren St New York, NY 10007",10007
Aahar Indian Cuisine,4.5,325,Battery Park,"10 Murray St New York, NY 10007",10007
Los Tacos No. 1,4.5,191,Battery Park,"136 Church St New York, NY 10007",10007
Khe-Yo,4,780,Battery Park,"157 Duane St New York, NY 10013",10013
Treadwell Park,4,154,Battery Park,"301 S End Ave New York, NY 10280",10280
Dig,3.5,178,Battery Park,"225 Liberty St New York, NY 10281",10281
Blue Bottle Coffee,4.5,108,Battery Park,"150 Greenwich St New York, NY 10007",10007
Crown Shy,4.5,307,Battery Park,"70 Pine St New York, NY 10005",10005
Mama’s Cupboard,5,14,Battery Park,"235 E 53rd St New York, NY 10022",10022
Ess-a-Bagel,4,3674,Battery Park,"831 3rd Ave New York, NY 10022",10022
Felice,4,377,Battery Park,"15 Gold St New York, NY 10038",10038
Zutto Japanese American Pub,4,901,Battery Park,"77 Hudson St New York, NY 10013",10013
Fraunces Tavern,3.5,889,Battery Park,"54 Pearl St New York, NY 10004",10004
Mulberry & Vine,4,316,Battery Park,"73 Warren St New York, NY 10007",10007
Nelson A. Rockefeller Park,4.5,34,Battery Park,"River Ter & Warren St New York, NY 10282",10282
Tamarind,4,953,Battery Park,"99 Hudson St New York, NY 10013",10013
Dark Horse,4,395,Battery Park,"17 Murray St New York, NY 10007",10007
Stage Door Pizza,4,246,Battery Park,"26 Vesey St New York, NY 10007",10007
Nobu Downtown,3.5,418,Battery Park,"195 Broadway New York, NY 10007",10007
Poke Bowl,4,310,Battery Park,"104 Fulton St New York, NY 10038",10038
Rahi,4.5,500,Battery Park,"60 Greenwich Ave New York, NY 10011",10011
Ess-a-Bagel,4,3674,Battery Park,"831 3rd Ave New York, NY 10022",10022
Dragon Tea,4.5,50,Battery Park,"106 Greenwich St New York, NY 10006",10006
Brooklyn Chop House,4,549,Battery Park,"150 Nassau St New York, NY 10038",10038
Num Pang Kitchen,3.5,187,Battery Park,"225 Liberty St New York, NY 10281",10281
Scalini Fedeli,4.5,314,Battery Park,"165 Duane St New York, NY 10013",10013
Hank’s Juicy Beef,4.5,251,Battery Park,"84 Chambers St New York, NY 10007",10007
Mad Dog & Beans Mexican Cantina,3.5,966,Battery Park,"83 Pearl St New York, NY 10004",10004
Tribeca’s Kitchen,4,519,Battery Park,"200 Church St New York, NY 10013",10013
Harry’s Italian,3.5,257,Battery Park,"225 Murray St New York, NY 10282",10282
View of the World Terrace Club,3.5,167,Battery Park,"140 Washington St New York, NY 10006",10006
GunBae Tribeca,4,292,Battery Park,"67 Murray St New York, NY 10007",10007
Blue Bottle Coffee,4.5,108,Battery Park,"150 Greenwich St New York, NY 10007",10007
Ess-a-Bagel,4,3674,Battery Park,"831 3rd Ave New York, NY 10022",10022
Yours Truly,4,91,Battery Park,"8 Spring St New York, NY 10012",10012
Melt Shop,4,373,Battery Park,"111 Fulton St New York, NY 10038",10038
Sandwich House,4,266,Battery Park,"17 Ann St New York, NY 10038",10038
Vintry Wine and Whiskey,4,257,Battery Park,"57 Stone St New York, NY 10004",10004
Laughing Man Coffee & Tea,4.5,240,Battery Park,"184 Duane St New York, NY 10013",10013
Ruchi,3.5,367,Battery Park,"120 Cedar St New York, NY 10006",10006
Sophie’s Cuban Cuisine,3.5,418,Battery Park,"73 New St New York, NY 10004",10004
Bubby’s Tribeca,3.5,1440,Battery Park,"120 Hudson St New York, NY 10013",10013
The Odeon,4,647,Battery Park,"145 W Broadway New York, NY 10013",10013
Bean & Bean,4,177,Battery Park,"71 Broadway New York, NY 10006",10006
Woodrow’s,4,333,Battery Park,"43 Murray St New York, NY 10007",10007
Tres Leches Cafe,5,142,Battery Park,"356 E 112th St New York, NY 10029",10029
Top Thai Greenwich,4.5,1532,Battery Park,"235 Sullivan St New York, NY 10012",10012
Leo’s Bagels,3.5,895,Battery Park,"3 Hanover Sq New York, NY 10005",10005
Tajin,3.5,237,Battery Park,"85 Greenwich St New York, NY 10006",10006
Teardrop Park,5,27,Battery Park,"Warren St New York, NY 10005",10005
Reserve Cut,4,280,Battery Park,"40 Broad St Fl 2 New York, NY 10004",10004
Tiny’s & The Bar Upstairs,4,585,Battery Park,"135 W Broadway New York, NY 10013",10013
Parm,3,375,Battery Park,"Brookfield Pl 250 Vesey St New York, NY 10080",10080
Little Park,4,368,Battery Park,"85 W Broadway New York, NY 10007",10007
Lady M Cake Boutique,3.5,174,Battery Park,"101 Liberty St Ste 1415 New York, NY 10281",10281
Atera,4.5,263,Battery Park,"77 Worth St New York, NY 10013",10013
Maestro Pasta,4.5,87,Battery Park,"45 John St New York, NY 10038",10038
Surreal Creamery,4.5,164,Battery Park,"538 2nd Ave New York, NY 10016",10016
Ess-a-Bagel,4,3674,Battery Park,"831 3rd Ave New York, NY 10022",10022
Tres Leches Cafe,5,142,Battery Park,"356 E 112th St New York, NY 10029",10029
American Cut Steakhouse Tribeca,4,590,Battery Park,"363 Greenwich St New York, NY 10013",10013
Kimchi Taco,3,226,Battery Park,in Mexican,xican
Sticky’s Finger Joint,4,182,Battery Park,"21 Maiden Ln New York, NY 10038",10038
La Colombe Coffee,4.5,162,Battery Park,"67 Wall St New York, NY 10005",10005
Toro Loco,4,263,Battery Park,"15 Stone St New York, NY 10004",10004
Underground Pizza,4,295,Battery Park,"3 Hanover Sq New York, NY 10004",10004
National Museum of the American Indian,4,175,Battery Park,"1 Bowling Grn New York, NY 10004",10004
Gregorys Coffee,4,153,Battery Park,"42 Broadway New York, NY 10004",10004
Blue Ribbon Sushi Bar - Hudson Eats,3.5,146,Battery Park,"225 Liberty St Hudson Eats New York, NY 10281",10281
Blue Spoon Coffee,4,192,Battery Park,"90 William St New York, NY 10038",10038
Starbucks,3,42,Battery Park,"200 Liberty St L105 Brookfield Place 1 New York, NY 10006",10006
I Milky 沐白,4.5,139,Battery Park,"992 6th Ave New York, NY 10018",10018
George’s,3,408,Battery Park,"89 Greenwich St New York, NY 10006",10006
The Irish American,4,297,Battery Park,"17 John St New York, NY 10038",10038
Joe’s Pizza,4,218,Battery Park,"124 Fulton St New York, NY 10038",10038
Seamore’s,3.5,123,Battery Park,"250 Vesey St New York, NY 10281",10281
Biryani House Cart,4,160,Battery Park,"140 Broadway New York, NY 10005",10005
Inatteso Cafe,3.5,94,Battery Park,"38 West St New York, NY 10004",10004
Harry’s Italian,3.5,584,Battery Park,"2 Gold St New York, NY 10038",10038
Bobby Van’s Steakhouse,3.5,393,Battery Park,"25 Broad St New York, NY 10004",10004
Del Frisco’s Grille,3.5,163,Battery Park,"250 Vesey St New York, NY 10080",10080
Old Xi’an,4,214,Battery Park,"164 Pearl St New York, NY 10005",10005
Surreal Creamery,4.5,164,Battery Park,"538 2nd Ave New York, NY 10016",10016
Schaller’s Stube Sausage Bar,4,215,Battery Park,"1652 2nd Ave New York, NY 10028",10028
Uluh,4,330,Battery Park,"152 2nd Ave Ste A New York, NY 10003",10003
Charging Bull,4.5,493,Battery Park,"Broadway & Morris St New York, NY 10004",10004
The Black Hound,4,79,Battery Park,"301 S End Ave New York, NY 10280",10280
Broadstone Bar & Kitchen,4,263,Battery Park,"88 Broad St New York, NY 10004",10004
Museum of Jewish Heritage - A Living Memorial to the Holocaust,4,95,Battery Park,"36 Battery Pl New York, NY 10280",10280
Stone Street Tavern,3.5,438,Battery Park,"52 Stone St New York, NY 10004",10004
GRK Fresh Greek - Financial District,3.5,479,Battery Park,"111 Fulton St New York, NY 10038",10038
Monk Mcginn’s,4.5,89,Battery Park,"57 Murray St New York, NY 10007",10007
Gigino At Wagner Park,3.5,285,Battery Park,"20 Battery Pl New York, NY 10004",10004
Aroy Dee Thai Kitchen,3.5,405,Battery Park,"20 John St New York, NY 10038",10038
Underdog,3.5,330,Battery Park,"55 Stone St New York, NY 10004",10004
Hui Restaurant & Bar,4.5,176,Battery Park,"314 E 70th St New York, NY 10021",10021
Blue Seafood Bar,4,153,Battery Park,"856 Ninth Ave New York, NY 10019",10019
Wei West,3,216,Battery Park,"235 Murray St New York, NY 10282",10282
Temple Court,4,263,Battery Park,"5 Beekman St New York, NY 10038",10038
Starbucks,2.5,78,Bensonhurst,"6423 18th Ave Brooklyn, NY 11204",11204
Brooklyn Tea,5,94,Bensonhurst,"524 Nostrand Ave Brooklyn, NY 11216",11216
Panino Rustico,4.5,476,Bensonhurst,"8222 17th Ave Brooklyn, NY 11214",11214
Lioni Italian Heroes,4.5,386,Bensonhurst,"7803 15th Ave Brooklyn, NY 11228",11228
Villabate Alba,4,505,Bensonhurst,"7001 18th Ave Brooklyn, NY 11204",11204
L & B Spumoni Gardens,4,3920,Bensonhurst,"2725 86th St Brooklyn, NY 11223",11223
Hand Pull Noodle and Dumpling House,4,309,Bensonhurst,"7201 18th Ave Brooklyn, NY 11204",11204
Mama’s Noodle House,4.5,99,Bensonhurst,"1782 Bay Ridge Ave Brooklyn, NY 11204",11204
Meze,4,320,Bensonhurst,"6601 13th Ave Brooklyn, NY 11219",11219
Prince Tea House,4,250,Bensonhurst,"8510 21st Ave Brooklyn, NY 11214",11214
J & V Pizzeria,4,241,Bensonhurst,"6322 18th Ave Brooklyn, NY 11204",11204
Em Vietnamese Kitchen,4,263,Bensonhurst,"1702 86th St Brooklyn, NY 11214",11214
T-Swirl Crêpe,4,170,Bensonhurst,"36-16 30th Ave Astoria, NY 11103",11103
Sake Sushi,3.5,744,Bensonhurst,"2347 86th St Brooklyn, NY 11214",11214
Pastosa Ravioli,4.5,93,Bensonhurst,"7425 New Utrecht Ave Brooklyn, NY 11204",11204
Ortobello Restaurant,4,260,Bensonhurst,"6401 Bay Pkwy Brooklyn, NY 11204",11204
Tasty Pastry Shoppe,4.5,170,Bensonhurst,"8218 13th Ave Brooklyn, NY 11228",11228
Duck Wong,4,196,Bensonhurst,"2341 86th St Brooklyn, NY 11214",11214
Krispy Pizza - Brooklyn,4,256,Bensonhurst,"7112 13th Ave Brooklyn, NY 11228",11228
Taquitos Mexico,4,212,Bensonhurst,"6720 14th Ave Brooklyn, NY 11219",11219
Mr Bun,4,219,Bensonhurst,"2048 86th St Brooklyn, NY 11214",11214
Chikurin,3.5,329,Bensonhurst,"2362 86th St Brooklyn, NY 11214",11214
Liu’s Shanghai,4.5,389,Bensonhurst,"1869 Bath Ave Brooklyn, NY 11214",11214
Atlas Steakhouse and Sushi,4,205,Bensonhurst,"943 Coney Island Ave Brooklyn, NY 11230",11230
Luna’s Kitchen & Bar,5,58,Bensonhurst,"77-02 Roosevelt Ave Ste AA Jackson Heights, NY 11372",11372
The Bagel Store,4,27,Bensonhurst,"69 5th Ave Brooklyn, NY 11217",11217
Dylan’s Forest Hills,4.5,34,Bensonhurst,"103-19 Metropolitan Ave Forest Hills, NY 11375",11375
Atlas Steakhouse and Sushi,4,205,Bensonhurst,"943 Coney Island Ave Brooklyn, NY 11230",11230
Vetro Restaurant & Lounge,4.5,310,Bensonhurst,"164-49 Crossbay Blvd Howard Beach, NY 11414",11414
Il Colosseo,4,199,Bensonhurst,"7704 18th Ave Brooklyn, NY 11214",11214
La Palina Restaurant,4,183,Bensonhurst,"159 Avenue O Brooklyn, NY 11204",11204
Rimini Pastry Shop,4,205,Bensonhurst,"6822 Bay Pkwy Brooklyn, NY 11204",11204
Georgian Deli and Bakery,5,53,Bensonhurst,"2270 86th St Brooklyn, NY 11214",11214
Yaya Tea Garden,4,203,Bensonhurst,"2320 86th St Gravesend, NY 11214",11214
Café Gossip,4,140,Bensonhurst,"1687 86th St Brooklyn, NY 11214",11214
Arnor Crepes & Bubble Tea,4,131,Bensonhurst,"1425 W 10th St Brooklyn, NY 11204",11204
Tony’s Pizzeria,4.5,103,Bensonhurst,"7623 13th Ave New York, NY 11228",11228
Tacos Lupita,4.5,60,Bensonhurst,"1802 65th St Brooklyn, NY 11204",11204
Carvel,4.5,50,Bensonhurst,"7111 18th Ave Brooklyn, NY 11204",11204
Beat Mazesoba,4.5,150,Bensonhurst,"161-23 Crocheron Ave Flushing, NY 11358",11358
Borsalia,5,17,Bensonhurst,"79 Grand St Brooklyn, NY 11249",11249
Tasty Bagels,4,98,Bensonhurst,"1705 86th St Brooklyn, NY 11214",11214
Pho Tay Ho,3.5,421,Bensonhurst,"2351 86th St Brooklyn, NY 11214",11214
HK Tea and Sushi,3,478,Bensonhurst,"2033 86th St Brooklyn, NY 11214",11214
Baby Olive,4,127,Bensonhurst,"1402 86th St Brooklyn, NY 11228",11228
Halal Xpress,4.5,59,Bensonhurst,"7524 18th Ave Brooklyn, NY 11214",11214
Samurai Fusion Sushi,4,152,Bensonhurst,"1709 86th St Brooklyn, NY 11214",11214
Tenzan,3.5,301,Bensonhurst,"7117 18th Ave Brooklyn, NY 11204",11204
Fantasy Riceroll,4.5,86,Bensonhurst,"9 Bay 22nd St Brooklyn, NY 11214",11214
Papa Pasquale Ravioli Co.,4.5,53,Bensonhurst,"7817 15th Ave Brooklyn, NY 11228",11228
Il Fornaretto Bakery,5,44,Bensonhurst,"7616 17th Ave Brooklyn, NY 11214",11214
L’Wren,5,42,Bensonhurst,"4004 5th Ave Brooklyn, NY 11232",11232
Salvatoria Kitchen & Bar,4.5,203,Bensonhurst,"31-18 Broadway Astoria, NY 11106",11106
65 Kuho Sushi Shabu Shabu,3.5,203,Bensonhurst,"1701 65th St Brooklyn, NY 11204",11204
Mikes Diner Of Brooklyn,4,99,Bensonhurst,"1454 86th St Brooklyn, NY 11228",11228
Las Chelitas,4.5,56,Bensonhurst,"7312 13th Ave Brooklyn, NY 11228",11228
Elza Fancy Food,4.5,47,Bensonhurst,"8611 19th Ave Brooklyn, NY 11214",11214
PokéBowl Station,4,122,Bensonhurst,"2037 86th St Brooklyn, NY 11214",11214
Istanbul Turkish Cafe,3.5,396,Bensonhurst,"2202 86th St Brooklyn, NY 11214",11214
Longevousjoy,3.5,307,Bensonhurst,"6610 Bay Pkwy Brooklyn, NY 11204",11204
DaVinci Pizzeria,4,127,Bensonhurst,"6514 18th Ave Brooklyn, NY 11204",11204
Coffee RX,4.5,62,Bensonhurst,"1504 86th St Brooklyn, NY 11228",11228
Aunt Butchie’s Desserts,4.5,62,Bensonhurst,"6901 13th Ave Brooklyn, NY 11228",11228
Atlas Steakhouse and Sushi,4,205,Bensonhurst,"943 Coney Island Ave Brooklyn, NY 11230",11230
Ako,4,412,Bensonhurst,"205 Bedford Ave Brooklyn, NY 11211",11211
Zamaan,5,24,Bensonhurst,"8915 5th Ave Brooklyn, NY 11209",11209
Umai Ramen,3.5,173,Bensonhurst,"6320 18th Ave Brooklyn, NY 11204",11204
Cannoli Plus,4.5,47,Bensonhurst,"6903 New Utrecht Ave Brooklyn, NY 11228",11228
Jin Jin Hong Kong Cafe,3.5,244,Bensonhurst,"6224 18th Ave Brooklyn, NY 11204",11204
B & A Pork Store,4,93,Bensonhurst,"7818 13th Ave Brooklyn, NY 11228",11228
Steam Box Rice Roll,4.5,43,Bensonhurst,"6517 18th Ave Brooklyn, NY 11204",11204
La Villa Pizzeria,4,126,Bensonhurst,"1529 86th St Brooklyn, NY 11228",11228
Tous Les Jours,4,120,Bensonhurst,"2017 86th St Brooklyn, NY 11214",11214
Twisted Wings,4,84,Bensonhurst,"8604 Bay Pkwy Brooklyn, NY 11214",11214
Cafe Lily,4.5,53,Bensonhurst,"42 Avenue O Brooklyn, NY 11204",11204
Wasabi Sushi,4,146,Bensonhurst,"2375 86th St Brooklyn, NY 11214",11214
Glow Thai,3.5,263,Bensonhurst,"7107 3rd Ave Brooklyn, NY 11209",11209
Lily Bloom Bakery,3.5,128,Bensonhurst,"2220 86th St Brooklyn, NY 11214",11214
Gus’ American Grill,4,78,Bensonhurst,"7206 New Utrecht Ave Brooklyn, NY 11228",11228
Europa Pizzeria,3.5,156,Bensonhurst,"6423 20th Ave Brooklyn, NY 11204",11204
JMcakeBoutique,4.5,29,Bensonhurst,"7211 18th Ave Brooklyn, NY 11204",11204
Ninja 86 Sushi,4,93,Bensonhurst,"2274 86th St Brooklyn, NY 11214",11214
Pad Thai Kitchen,4.5,42,Bensonhurst,"6218 18th Ave Brooklyn, NY 11204",11204
Kowloon Cafe,3,255,Bensonhurst,"2365 86th St Brooklyn, NY 11214",11214
Blue Agave Mexican Restaurant & Bar,3.5,140,Bensonhurst,"7201 16th Ave Brooklyn, NY 11204",11204
Hot Spot Nabe,4,90,Bensonhurst,"7204 18th Ave Brooklyn, NY 11204",11204
Mango Mango Dessert,4,93,Bensonhurst,"2024 86th St Brooklyn, NY 11214",11214
Carneval,4.5,58,Bensonhurst,"507 Grand St Brooklyn, NY 11211",11211
Starbucks,2.5,78,Bensonhurst,"6423 18th Ave Brooklyn, NY 11204",11204
Brew Memories,4.5,31,Bensonhurst,"295 7th Ave Brooklyn, NY 11215",11215
Lenny’s Pizza,3.5,160,Bensonhurst,"1969 86th St Brooklyn, NY 11214",11214
86 Fu Kee,3.5,164,Bensonhurst,"2211 86th St Brooklyn, NY 11214",11214
Ichi Sushi,3.5,179,Bensonhurst,"2040 86th St Brooklyn, NY 11214",11214
Italia Pizza,4,94,Bensonhurst,"307 Kings Hwy Brooklyn, NY 11223",11223
New Ruan’s Restaurant,3.5,111,Bensonhurst,"1955 86th St Brooklyn, NY 11214",11214
Fugu Sushi,3.5,157,Bensonhurst,"6804 Bay Pkwy Brooklyn, NY 11204",11204
Gotcha Cafe,4.5,40,Bensonhurst,"1712 86th St Brooklyn, NY 11214",11214
Avocados Mexican grill,5,28,Bensonhurst,"428 Kings Hwy Brooklyn, NY 11223",11223
Chris’s Restaurant,4,75,Bensonhurst,"1866 86th St Brooklyn, NY 11214",11214
Me-Do Desserts,4,73,Bensonhurst,"3 Bay 25th St Brooklyn, NY 11214",11214
Atlas Steakhouse and Sushi,4,205,Bensonhurst,"943 Coney Island Ave Brooklyn, NY 11230",11230
Mama Rao Cucina Italiana,4.5,221,Bensonhurst,"6408 11th Ave Brooklyn, NY 11219",11219
ViVi Bubble Tea,3.5,87,Bensonhurst,"6731 Bay Pkwy Bensonhurst, NY 11204",11204
Tacos Lopez,4,62,Bensonhurst,"18 th ave New Utrecht Brooklyn, NY 11209",11209
Grandma’s Bakery,4,59,Bensonhurst,"7208 13th Ave Brooklyn, NY 11228",11228
Kookoo Chicken,3.5,122,Bensonhurst,"1698 86th St Brooklyn, NY 11214",11214
Caffe Bene,3.5,131,Bensonhurst,"6307 18th Ave Brooklyn, NY 11204",11204
Bagel Bazaar,4,75,Bensonhurst,"2208 86th St Brooklyn, NY 11214",11214
80’s Tea,4,81,Bensonhurst,"6815 Bay Pkwy Brooklyn, NY 11204",11204
Kung Fu Tea,3,159,Bensonhurst,"2174 86th St Brooklyn, NY 11214",11214
Delicacy Passion Patisserie,4.5,35,Bensonhurst,"2379 86th St Brooklyn, NY 11214",11214
Bijan’s,4,590,Bensonhurst,"81 Hoyt St Brooklyn, NY 11211",11211
Prince Tea House,4.5,74,Bensonhurst,"15 Station Square Forest Hills, NY 11375",11375
Papa John’s Pizza,2.5,34,Bensonhurst,"189 Avenue U Brooklyn, NY 11223",11223
Ichi Sushi,3.5,96,Bensonhurst,"2040 86th St Brooklyn, NY 11214",11214
Nyonya,2.5,426,Bensonhurst,"2322 86th St Brooklyn, NY 11214",11214
Ting Fai Cuisine,3.5,97,Bensonhurst,"1962 86th St Brooklyn, NY 11214",11214
The Original John’s Deli,4,348,Bensonhurst,"2033 Stillwell Ave Brooklyn, NY 11223",11223
La Chacra,4,231,Bensonhurst,"1928 Bath Ave Brooklyn, NY 11214",11214
Pizza Daddy,3.5,134,Bensonhurst,"6422 Bay Pkwy Brooklyn, NY 11204",11204
Alegrito Espresso Bar,4.5,33,Bensonhurst,"2216 65th St Brooklyn, NY 11204",11204
Tommaso Restaurant,3.5,108,Bensonhurst,"1464 86th St Brooklyn, NY 11228",11228
Nagoya Fusion,3.5,134,Bensonhurst,"1948 86th St Brooklyn, NY 11214",11214
Mtskheta Cafe,4,69,Bensonhurst,"2568 86th St Brooklyn, NY 11214",11214
Northern Bell,4,284,Bensonhurst,"612 Metropolitan Ave Brooklyn, NY 11211",11211
Luna’s Kitchen & Bar,5,58,Bensonhurst,"77-02 Roosevelt Ave Ste AA Jackson Heights, NY 11372",11372
Carneval,4.5,58,Bensonhurst,"507 Grand St Brooklyn, NY 11211",11211
Mera,4,48,Bensonhurst,"282 Kings Hwy Brooklyn, NY 11223",11223
E’s Cake Shop,4.5,34,Bensonhurst,"1508 86th St Brooklyn, NY 11228",11228
Golden Bay Restaurant,3.5,94,Bensonhurst,"2144 86th St Brooklyn, NY 11214",11214
OFC Chicken V,3.5,111,Bensonhurst,"1972 86th St Brooklyn, NY 11214",11214
King’s Kitchen,3,190,Bensonhurst,"2051 86th St Brooklyn, NY 11214",11214
El Gallo Taqueria,4,287,Bensonhurst,"214 Highlawn Ave Brooklyn, NY 11223",11223
Kasumi Sushi & BBQ,3.5,66,Bensonhurst,"1870 86th St Brooklyn, NY 11214",11214
Szechuan Garden,4,49,Bensonhurst,"84 Ave O Brooklyn, NY 11204",11204
Kushi Izakaya,3.5,81,Bensonhurst,"1934 86st Brooklyn, NY 11214",11214
L’Wren,5,42,Bensonhurst,"4004 5th Ave Brooklyn, NY 11232",11232
Atlas Steakhouse and Sushi,4,205,Bensonhurst,"943 Coney Island Ave Brooklyn, NY 11230",11230
Hop Fa Bakery,4,35,Bensonhurst,"6512 Bay Pkwy New York, NY 11204",11204
New Dyker Restaurant,4,46,Bensonhurst,"8505 18th Ave Brooklyn, NY 11214",11214
Nicoletti Coffee Roasters,4.5,18,Bensonhurst,"6723 13th Ave Brooklyn, NY 11219",11219
